aba950RRaba960   54.194  -111.973     0.000 
aba955RRaba965   53.889  -111.208     0.000 
aba960RRaba965   54.183  -111.257     0.000 
aba965RRaba960   53.919  -110.661     0.000 
abc146   50.201  -120.158     0.000 
abc150   50.463  -119.878     0.000 
abc154   50.603  -119.532     0.000 
abc156   50.664  -119.322     0.000 
abc158   50.746  -119.138     0.000 
abc160   50.828  -118.935     0.000 
abc162   50.892  -118.679     0.000 
abc164   50.921  -118.463     0.000 
abc168   51.013  -118.057     0.000 
abc172   51.232  -117.674     0.000 
abc176   51.362  -117.434     0.000 
abc178   51.403  -117.314     0.000 
abc182   51.483  -116.964     0.000 
abc184   51.575  -116.788     0.000 
abc186   51.705  -116.717     0.000 
abc188   51.803  -116.587     0.000 
abc190   52.012  -116.569     0.000 
abc194   52.336  -116.358     0.000 
abc198   52.516  -116.190     0.000 
abc200   52.620  -115.940     0.000 
abc202   52.709  -115.735     0.000 
abc204   52.838  -115.510     0.000 
abc206   52.988  -115.340     0.000 
abc208   53.088  -115.191     0.000 
abc300RR295   51.491  -120.252     0.000 
abc310RR360   51.792  -119.692     0.000 
abc315RR360   51.928  -119.541     0.000 
abc325RR360   52.136  -119.354     0.000 
abc345RR360   52.560  -119.048     0.000 
abc350RR360   52.633  -118.994     0.000 
abc360RR365   52.896  -118.740     0.000 
abc370RR360   52.874  -118.261     0.000 
abc375RR360   52.996  -118.082     0.000 
abc384RR386   53.370  -117.765     0.000 
abc386RR384   53.519  -117.418     0.000 
abc388RR386   53.569  -116.971     0.000 
abc390RR386   53.726  -116.533     0.000 
abt002   52.567  -110.167     0.000 
abt004   52.516  -110.449     0.000 
abt005   52.553  -110.669     0.000 
abt006   52.607  -110.861     0.000 
abt007   52.501  -111.175     0.000 
abt009   52.602  -111.542     0.000 
abt011   52.346  -111.970     0.000 
abt012   52.682  -112.003     0.000 
abt013   52.533  -112.289     0.000 
abt016   52.467  -112.700     0.000 
abt017   52.557  -112.857     0.000 
abt018   52.654  -113.128     0.000 
abt019   52.563  -113.221     0.000 
abt021   52.623  -113.923     0.000 
abt022   52.712  -114.052     0.000 
abt023   52.809  -114.236     0.000 
abt025   52.978  -114.242     0.000 
abt026   53.066  -114.634     0.000 
abt029   53.374  -114.722     0.000 
abt031   52.147  -113.481     0.000 
abt032   52.703  -114.418     0.000 
abt033   51.950  -112.883     0.000 
abt034   51.880  -112.508     0.000 
abt035   51.909  -112.138     0.000 
abt036   51.994  -113.337     0.000 
abt037   52.263  -114.607     0.000 
abt039   51.274  -112.795     0.000 
abt040   51.235  -112.702     0.000 
abt041   51.177  -112.511     0.000 
abt042   51.128  -112.374     0.000 
abt043   51.393  -112.945     0.000 
abt044   51.553  -113.026     0.000 
abt045   51.627  -113.163     0.000 
abt048   51.061  -112.013     0.000 
abt049   51.088  -111.559     0.000 
abt050   51.236  -111.437     0.000 
abt056   51.767  -111.282     0.000 
abt058   51.753  -110.647     0.000 
abt061   51.698  -110.049     0.000 
abt062   50.842  -112.049     0.000 
abt064   50.616  -112.081     0.000 
abt065   50.471  -111.847     0.000 
abt068   51.713  -113.158     0.000 
abt070   51.693  -113.647     0.000 
abt072   51.809  -113.783     0.000 
abt073   51.867  -113.876     0.000 
abt074   51.954  -113.926     0.000 
abt076   52.020  -114.215     0.000 
abt078   52.131  -114.435     0.000 
abt079   52.186  -114.572     0.000 
abt081   52.330  -115.017     0.000 
abt082   52.563  -113.492     0.000 
abt083   52.543  -113.757     0.000 
abt089   53.731  -114.921     0.000 
abt091   53.811  -115.314     0.000 
abt094   54.031  -115.497     0.000 
abt095   54.129  -115.276     0.000 
abt097   54.651  -114.201     0.000 
abt100   54.474  -113.739     0.000 
abt103   54.231  -113.162     0.000 
abt107   54.013  -112.442     0.000 
abt109   53.924  -112.104     0.000 
abt110   53.876  -111.817     0.000 
abt111   53.777  -111.662     0.000 
abt112   53.621  -111.582     0.000 
abt115   53.489  -111.036     0.000 
abt116   53.428  -110.777     0.000 
abt117   53.275  -110.615     0.000 
abt119   53.254  -110.269     0.000 
abt121   53.073  -110.038     0.000 
abt122   52.515  -109.916     0.000 
abt123   52.498  -109.768     0.000 
abt130   49.604  -110.936     0.000 
abt132   53.517  -110.003     0.000 
abt135   54.391  -110.114     0.000 
abt136   54.231  -109.818     0.000 
abt138   54.429  -110.807     0.000 
abt140   54.503  -111.169     0.000 
abt143   54.544  -111.893     0.000 
abt145   54.758  -112.318     0.000 
abt147   54.841  -112.641     0.000 
abt149   54.301  -110.507     0.000 
abt151   55.928  -119.908     0.000 
abt153   55.896  -119.437     0.000 
abt154   55.826  -119.096     0.000 
abt155   55.862  -118.840     0.000 
abt158   55.766  -118.249     0.000 
abt160   55.898  -117.761     0.000 
abt162   55.881  -117.318     0.000 
abt164   55.568  -116.565     0.000 
abt167   55.857  -120.423     0.000 
abt171   56.232  -117.070     0.000 
abt173   55.940  -116.985     0.000 
abt174   55.643  -117.040     0.000 
abt175   55.384  -116.962     0.000 
abt177   55.047  -116.882     0.000 
abt178   54.874  -117.307     0.000 
abt180   55.353  -115.983     0.000 
abt183   55.409  -118.003     0.000 
abt185   58.528  -117.274     0.000 
abt186   58.565  -117.708     0.000 
abt188   58.586  -118.323     0.000 
abt190   58.602  -118.836     0.000 
abt191   58.433  -119.436     0.000 
abt193   58.472  -116.944     0.000 
abt194   58.528  -116.721     0.000 
abt196   58.506  -116.199     0.000 
abt198   58.513  -115.696     0.000 
abt200   58.598  -118.633     0.000 
abt201   49.428  -113.734     0.000 
abt202   49.431  -113.444     0.000 
abt203   49.453  -112.961     0.000 
abt205   49.544  -112.664     0.000 
abt206   49.568  -112.449     0.000 
abt207   49.689  -112.237     0.000 
abt208   49.646  -111.937     0.000 
abt210   49.768  -111.575     0.000 
abt212   49.798  -111.209     0.000 
abt214   49.921  -111.382     0.000 
abt215   50.083  -111.758     0.000 
abt217   49.746  -110.731     0.000 
abt219   49.723  -110.269     0.000 
abt221   49.889  -109.873     0.000 
abt233   49.617  -113.483     0.000 
abt234   49.778  -113.448     0.000 
abt235   49.835  -113.673     0.000 
abt236   49.948  -113.711     0.000 
abt237   50.113  -113.684     0.000 
abt238   50.247  -113.812     0.000 
abt239   50.378  -113.888     0.000 
abt240   50.462  -114.097     0.000 
abt241   50.580  -114.161     0.000 
abt242   50.681  -114.402     0.000 
abt244   50.837  -114.506     0.000 
abt245   51.077  -114.501     0.000 
abt246   51.142  -114.666     0.000 
abt247   51.259  -114.446     0.000 
abt248   51.366  -114.601     0.000 
abt249   50.968  -114.611     0.000 
abt250   51.570  -114.455     0.000 
abt251   50.549  -113.038     0.000 
abt252   50.794  -113.362     0.000 
abt253   50.246  -112.878     0.000 
abt254   51.201  -113.391     0.000 
abt256   50.963  -113.388     0.000 
abt257   54.903  -113.196     0.000 
abt258   54.856  -113.596     0.000 
abt259   54.996  -113.895     0.000 
abt260   55.284  -114.678     0.000 
abt261   55.384  -115.129     0.000 
abt263   55.338  -115.541     0.000 
abt265   55.158  -112.576     0.000 
abt266   55.397  -112.493     0.000 
abt268   55.714  -112.188     0.000 
abt269   56.118  -111.776     0.000 
abt271   56.403  -111.293     0.000 
abt272   56.784  -111.740     0.000 
abt273   55.218  -113.921     0.000 
abt274   55.210  -114.406     0.000 
abt275   55.108  -115.241     0.000 
abt276   56.473  -116.242     0.000 
abt277   56.484  -116.697     0.000 
abt278   56.401  -117.398     0.000 
abt279   56.543  -117.952     0.000 
abt280   56.328  -118.244     0.000 
abt281   56.492  -118.653     0.000 
abt282   56.498  -118.967     0.000 
abt283   56.458  -119.323     0.000 
abt284   56.367  -119.724     0.000 
abt285   56.459  -120.129     0.000 
abt286   56.418  -120.499     0.000 
abt292   56.808  -117.522     0.000 
abt293   57.057  -117.363     0.000 
abt294   57.251  -117.321     0.000 
abt295   55.651  -117.363     0.000 
abt296   55.505  -117.544     0.000 
abt297   55.320  -118.389     0.000 
